generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
15,0.25,5.0,0.9333333333333333,6.111919138499425,4.922002805329839e-10,True
20,0.25,5.0,0.95,7.229568912920511,2.4225066397320916e-13,True
25,0.25,5.0,0.96,8.198373822492686,1.1102230246251565e-16,True
30,0.25,5.0,0.9333333333333333,8.64355893779357,0.0,True
35,0.25,5.0,0.9428571428571428,9.466230707600772,0.0,True
40,0.25,5.0,0.95,10.2241544067631,0.0,True
45,0.25,5.0,0.9555555555555556,10.930419665963155,0.0,True
50,0.25,5.0,0.96,11.59425144917371,0.0,True
55,0.25,5.0,0.9636363636363636,12.22243342333591,0.0,True
60,0.25,5.0,0.9666666666666667,12.820123070998793,0.0,True
65,0.25,5.0,0.9692307692307692,13.391348144537396,0.0,True
70,0.25,5.0,0.9714285714285714,13.939324298715556,0.0,True
75,0.25,5.0,0.9733333333333334,14.466666666666667,0.0,True
80,0.25,5.0,0.975,14.975535605335345,0.0,True
85,0.25,5.0,0.9764705882352941,15.467739989803192,0.0,True
90,0.25,5.0,0.9777777777777777,15.944812229594836,0.0,True
95,0.25,5.0,0.9789473684210527,16.408063913926856,0.0,True
100,0.25,5.0,0.98,16.85862786033707,0.0,True
105,0.25,5.0,0.9809523809523809,17.297490413443636,0.0,True
110,0.25,5.0,0.9818181818181818,17.725516618534407,0.0,True
115,0.25,5.0,0.9826086956521739,18.14347009936018,0.0,True
120,0.25,5.0,0.9833333333333333,18.55202893965449,0.0,True
125,0.25,5.0,0.984,18.951798507441627,0.0,True
130,0.25,5.0,0.9846153846153847,19.343321911298034,0.0,True
135,0.25,5.0,0.9851851851851852,19.727088601498142,0.0,True
140,0.25,5.0,0.9857142857142858,20.103541502739784,0.0,True
145,0.25,5.0,0.9862068965517241,20.473082973425903,0.0,True
150,0.25,5.0,0.9866666666666667,20.8360798189636,0.0,True
155,0.25,5.0,0.9870967741935484,21.192867536239692,0.0,True
160,0.25,5.0,0.9875,21.543753928536532,0.0,True
165,0.25,5.0,0.9878787878787879,21.88902220130659,0.0,True
170,0.25,5.0,0.9882352941176471,22.228933627056392,0.0,True
175,0.25,5.0,0.9885714285714285,22.563729850401614,0.0,True
180,0.25,5.0,0.9888888888888889,22.893634890914953,0.0,True
185,0.25,5.0,0.9891891891891892,23.218856890797085,0.0,True
190,0.25,5.0,0.9894736842105263,23.539589645993285,0.0,True
195,0.25,5.0,0.9897435897435898,23.85601395265776,0.0,True
200,0.25,5.0,0.99,24.16829879546069,0.0,True
205,0.25,5.0,0.9902439024390244,24.476602399856283,0.0,True
210,0.25,5.0,0.9904761904761905,24.78107316686643,0.0,True
5,0.25,5.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,5.0,1.0,5.477225575051661,2.1602315269930727e-08,True
15,0.25,5.0,1.0,6.7082039324993685,9.851675031313789e-12,True
20,0.25,5.0,1.0,7.745966692414833,4.6629367034256575e-15,True
25,0.25,5.0,1.0,8.660254037844386,0.0,True
30,0.25,5.0,1.0,9.486832980505138,0.0,True
35,0.25,5.0,1.0,10.246950765959598,0.0,True
40,0.25,5.0,1.0,10.954451150103322,0.0,True
45,0.25,5.0,0.9777777777777777,11.274684852292703,0.0,True
50,0.25,5.0,0.98,11.9208500815448,0.0,True
55,0.25,5.0,0.9818181818181818,12.53383300100052,0.0,True
60,0.25,5.0,0.9833333333333333,13.118265467998766,0.0,True
